Category,Item,Amount,Date,Description,Tax_Deductible,GST_Rate
Revenue,Product Sales,57287400.27,2026-01-31,Product Sales Revenue,No,18
Revenue,Service Income,24551742.97,2026-01-31,Consulting Services,No,18
Expenses,Raw Materials,24361400.29,2026-01-31,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,18828160.83,2026-01-31,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2026-01-31,Office Space Rent,Yes,18
Expenses,Utilities,2124484.76,2026-01-31,Electricity & Water,Yes,18
Expenses,Marketing,4820252.22,2026-01-31,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2026-01-31,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2026-01-31,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2026-01-31,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2026-01-31,Business Loan Interest,Yes,0
Tax_Payments,GST Paid,4091957.16,2026-01-31,GST Payment,No,0
Tax_Payments,TDS on Salaries,1882816.08,2026-01-31,TDS Payment,No,0
Tax_Payments,Advance Income Tax,1159487.46,2026-01-31,Advance Tax Q1,No,0
Assets,Fixed Assets,250000000.0,2026-01-31,Machinery & Equipment,No,0
Assets,Current Assets,180000000.0,2026-01-31,Inventory & Receivables,No,0
Assets,Cash & Bank,75000000.0,2026-01-31,Liquid Assets,No,0
Liabilities,Business Loan,120000000.0,2026-01-31,Term Loan,No,0
Liabilities,Creditors,7308420.09,2026-01-31,Trade Payables,No,0
Revenue,Product Sales,65479030.05,2026-01-01,Product Sales Revenue,No,18
Revenue,Service Income,28062441.45,2026-01-01,Consulting Services,No,18
Expenses,Raw Materials,32131889.45,2026-01-01,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17732761.13,2026-01-01,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2026-01-01,Office Space Rent,Yes,18
Expenses,Utilities,1878663.31,2026-01-01,Electricity & Water,Yes,18
Expenses,Marketing,6531550.04,2026-01-01,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2026-01-01,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2026-01-01,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2026-01-01,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2026-01-01,Business Loan Interest,Yes,0
Tax_Payments,GST Paid,4677073.57,2026-01-01,GST Payment,No,0
