Date,Current_Assets,Fixed_Assets,Total_Assets,Current_Liabilities,Long_Term_Debt,Total_Liabilities,Equity,Cash,Accounts_Receivable,Inventory,Accounts_Payable,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow
2024-01-31,1850000,4500000,6350000,980000,2400000,3380000,2970000,650000,750000,450000,520000,285000,-55000,-35000
2024-02-29,1920000,4480000,6400000,995000,2375000,3370000,3030000,680000,780000,460000,530000,298000,-52000,-38000
2024-03-31,2050000,4460000,6510000,1020000,2350000,3370000,3140000,730000,840000,480000,545000,335000,-58000,-42000
2024-04-30,1980000,4440000,6420000,1010000,2325000,3335000,3085000,710000,810000,460000,538000,316000,-54000,-40000
2024-05-31,2120000,4420000,6540000,1035000,2300000,3335000,3205000,760000,870000,490000,552000,350000,-60000,-45000
2024-06-30,2250000,4400000,6650000,1055000,2275000,3330000,3320000,810000,920000,520000,565000,387000,-65000,-48000
2024-07-31,2350000,4380000,6730000,1075000,2250000,3325000,3405000,850000,960000,540000,575000,403000,-68000,-50000
2024-08-31,2480000,4360000,6840000,1095000,2225000,3320000,3520000,900000,1010000,570000,585000,431000,-72000,-53000
2024-09-30,2420000,4340000,6760000,1085000,2200000,3285000,3475000,880000,980000,560000,580000,421000,-70000,-52000
2024-10-31,2550000,4320000,6870000,1105000,2175000,3280000,3590000,930000,1030000,590000,590000,446000,-75000,-55000
2024-11-30,2650000,4300000,6950000,1120000,2150000,3270000,3680000,970000,1070000,610000,598000,461000,-78000,-58000
2024-12-31,2780000,4280000,7060000,1140000,2125000,3265000,3795000,1020000,1120000,640000,608000,487000,-82000,-60000
